step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,8.447468583065980852e+01,1.000000000000000000e+00,1.135042291750369303e+00,2.162740564346313477e+01,0.000000000000000000e+00,-1.231011117981385041e+02,1.830000000000000071e+01
2.048000000000000000e+04,2.096594383043876775e+01,1.000000000000000000e+00,1.109334189573769391e+00,2.375989608764648509e+01,0.000000000000000000e+00,-1.137302260698358225e+02,2.500000000000000000e+01
4.096000000000000000e+04,2.595900243930049811e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,-7.326230458209406038e+01,2.580000000000000071e+01
6.144000000000000000e+04,4.828922310477536683e+01,1.000000000000000000e+00,1.113715202022535822e+00,2.689895248413085938e+01,0.000000000000000000e+00,-3.607075766907279046e+01,7.400000000000000355e+00
8.192000000000000000e+04,7.133062530056475836e+00,1.000000000000000000e+00,1.114433191284547320e+00,2.709087657928466797e+01,0.000000000000000000e+00,-2.381599763616082299e+01,7.900000000000000355e+00
1.024000000000000000e+05,7.009150321973918096e+01,1.000000000000000000e+00,1.113450950321686062e+00,2.666133098602294993e+01,0.000000000000000000e+00,-7.944087322813564001e+00,7.299999999999999822e+00
1.228800000000000000e+05,-7.581381262546345923e+00,1.000000000000000000e+00,1.124649763526781587e+00,3.132716808319091939e+01,0.000000000000000000e+00,-5.376555885408825119e+00,7.299999999999999822e+00
1.433600000000000000e+05,-1.215589992067414471e+01,9.000000000000000222e-01,1.129047420517713451e+00,9.451353588104248615e+01,0.000000000000000000e+00,4.347222980177282814e+00,1.209999999999999964e+01
1.638400000000000000e+05,3.851768520515940253e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,6.194167281546313575e+00,9.199999999999999289e+00
1.843200000000000000e+05,7.322575684762065862e+01,1.000000000000000000e+00,1.123682782001947045e+00,2.519938926696777415e+01,0.000000000000000000e+00,1.772206126104621049e+01,1.000000000000000000e+01
2.048000000000000000e+05,6.085610883172542884e+01,1.000000000000000000e+00,1.116396722516287854e+00,2.703975009918212891e+01,0.000000000000000000e+00,1.911559441249709579e+01,9.500000000000000000e+00
2.252800000000000000e+05,6.669168924653841657e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,2.610228278417228154e+01,9.000000000000000000e+00
2.457600000000000000e+05,7.433086053690433914e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,3.262534857090436446e+01,9.400000000000000355e+00
2.662400000000000000e+05,7.586648041234876416e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,3.844200013670186422e+01,9.199999999999999289e+00
2.867200000000000000e+05,7.796937213706162595e+01,1.000000000000000000e+00,1.127549129696086450e+00,2.440376205444335866e+01,0.000000000000000000e+00,4.577496572392978180e+01,1.090000000000000036e+01
2.990080000000000000e+05,7.222951837959946886e+01,1.000000000000000000e+00,1.134119747154187507e+00,2.273688936233520508e+01,0.000000000000000000e+00,4.341103559687491753e+01,1.200000000000000000e+01
